<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.03.19	00:00:00	16.302	16.344	16.210	16.295	10228	0	0
2018.03.19	01:00:00	16.302	16.325	16.290	16.294	138	0	0
2018.03.19	02:00:00	16.294	16.304	16.277	16.299	203	0	0
2018.03.19	03:00:00	16.300	16.301	16.276	16.287	417	0	0
2018.03.19	04:00:00	16.286	16.286	16.244	16.271	561	0	0
2018.03.19	05:00:00	16.276	16.286	16.268	16.270	92	0	0
2018.03.19	06:00:00	16.268	16.278	16.261	16.272	55	0	0
2018.03.19	07:00:00	16.270	16.280	16.256	16.263	97	0	0
2018.03.19	08:00:00	16.268	16.273	16.231	16.248	180	0	0
2018.03.19	09:00:00	16.246	16.255	16.226	16.250	219	0	0
2018.03.19	10:00:00	16.245	16.260	16.226	16.230	264	0	0
2018.03.19	11:00:00	16.235	16.245	16.210	16.242	524	0	0
2018.03.19	12:00:00	16.238	16.263	16.227	16.258	264	0	0
2018.03.19	13:00:00	16.261	16.293	16.261	16.267	356	0	0
2018.03.19	14:00:00	16.266	16.277	16.222	16.243	357	0	0
2018.03.19	15:00:00	16.242	16.302	16.227	16.239	1050	0	0
2018.03.19	16:00:00	16.242	16.319	16.212	16.286	1248	0	0
2018.03.19	17:00:00	16.285	16.307	16.234	16.263	1235	0	0
2018.03.19	18:00:00	16.259	16.330	16.237	16.308	926	0	0
2018.03.19	19:00:00	16.307	16.343	16.299	16.311	887	0	0
2018.03.19	20:00:00	16.316	16.333	16.302	16.322	541	0	0
2018.03.19	21:00:00	16.322	16.344	16.313	16.344	241	0	0
2018.03.19	22:00:00	16.343	16.344	16.310	16.313	316	0	0
2018.03.19	23:00:00	16.313	16.318	16.295	16.295	57	0	0
2018.03.20	01:00:00	16.286	16.323	16.286	16.310	81	0	0
2018.03.20	02:00:00	16.312	16.325	16.312	16.315	86	0	0
2018.03.20	03:00:00	16.314	16.327	16.278	16.297	390	0	0
2018.03.20	04:00:00	16.302	16.318	16.294	16.306	223	0	0
2018.03.20	05:00:00	16.311	16.331	16.306	16.321	97	0	0
2018.03.20	06:00:00	16.316	16.321	16.308	16.308	69	0	0
2018.03.20	07:00:00	16.313	16.313	16.294	16.296	71	0	0
2018.03.20	08:00:00	16.296	16.306	16.281	16.301	150	0	0
2018.03.20	09:00:00	16.299	16.338	16.296	16.321	278	0	0
2018.03.20	10:00:00	16.321	16.321	16.284	16.308	476	0	0
2018.03.20	11:00:00	16.306	16.314	16.289	16.313	397	0	0
2018.03.20	12:00:00	16.316	16.331	16.263	16.273	614	0	0
2018.03.20	13:00:00	16.273	16.282	16.251	16.281	228	0	0
2018.03.20	14:00:00	16.283	16.286	16.246	16.251	285	0	0
2018.03.20	15:00:00	16.253	16.268	16.206	16.267	521	0	0
