<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.03.19	00:00:00	1313.17	1319.60	1307.75	1316.85	259709	0	0
2018.03.19	01:00:00	1313.17	1314.39	1312.99	1313.15	2983	0	0
2018.03.19	02:00:00	1313.15	1313.78	1312.78	1313.18	3955	0	0
2018.03.19	03:00:00	1313.16	1313.17	1311.40	1311.65	11742	0	0
2018.03.19	04:00:00	1311.63	1312.01	1310.13	1311.68	11773	0	0
2018.03.19	05:00:00	1311.69	1312.20	1311.46	1311.97	5867	0	0
2018.03.19	06:00:00	1311.96	1312.17	1311.57	1312.00	4018	0	0
2018.03.19	07:00:00	1312.01	1312.61	1311.24	1311.58	4705	0	0
2018.03.19	08:00:00	1311.55	1312.10	1308.74	1309.89	8620	0	0
2018.03.19	09:00:00	1309.90	1310.09	1307.75	1309.53	8583	0	0
2018.03.19	10:00:00	1309.48	1310.30	1308.84	1308.85	9945	0	0
2018.03.19	11:00:00	1308.86	1311.04	1308.41	1310.80	12893	0	0
2018.03.19	12:00:00	1310.79	1312.00	1310.30	1311.49	10065	0	0
2018.03.19	13:00:00	1311.46	1313.01	1311.38	1311.54	11329	0	0
2018.03.19	14:00:00	1311.54	1311.58	1309.25	1310.10	11658	0	0
2018.03.19	15:00:00	1310.09	1313.24	1309.93	1312.10	21928	0	0
2018.03.19	16:00:00	1312.08	1314.17	1311.14	1313.40	20390	0	0
2018.03.19	17:00:00	1313.38	1314.30	1311.70	1313.23	19785	0	0
2018.03.19	18:00:00	1313.22	1319.07	1312.06	1318.13	24015	0	0
2018.03.19	19:00:00	1318.10	1319.60	1317.38	1317.58	17826	0	0
2018.03.19	20:00:00	1317.57	1318.70	1317.17	1317.92	13019	0	0
2018.03.19	21:00:00	1317.92	1318.55	1316.94	1318.20	10406	0	0
2018.03.19	22:00:00	1318.20	1318.22	1316.63	1316.73	10590	0	0
2018.03.19	23:00:00	1316.77	1317.18	1316.29	1316.85	3614	0	0
2018.03.20	01:00:00	1316.57	1317.22	1316.50	1317.00	2714	0	0
2018.03.20	02:00:00	1317.04	1318.24	1316.91	1317.05	4208	0	0
2018.03.20	03:00:00	1317.03	1317.41	1315.59	1316.32	11161	0	0
2018.03.20	04:00:00	1316.30	1316.99	1315.64	1316.15	10505	0	0
2018.03.20	05:00:00	1316.14	1317.32	1316.09	1316.58	5775	0	0
2018.03.20	06:00:00	1316.59	1316.60	1316.08	1316.46	5064	0	0
2018.03.20	07:00:00	1316.45	1316.67	1315.20	1315.56	5540	0	0
2018.03.20	08:00:00	1315.55	1315.67	1314.64	1315.26	6032	0	0
2018.03.20	09:00:00	1315.25	1316.91	1315.11	1316.15	6589	0	0
2018.03.20	10:00:00	1316.15	1316.15	1314.38	1315.27	13008	0	0
2018.03.20	11:00:00	1315.29	1315.29	1313.98	1315.14	11930	0	0
2018.03.20	12:00:00	1315.14	1316.41	1312.80	1313.15	13801	0	0
2018.03.20	13:00:00	1313.15	1313.49	1311.81	1313.44	10942	0	0
2018.03.20	14:00:00	1313.41	1313.50	1311.69	1311.69	9757	0	0
2018.03.20	15:00:00	1311.69	1312.00	1309.56	1311.96	17225	0	0
2018.03.20	16:00:00	1311.96	1312.20	1308.11	1309.57	22864	0	0
2018.03.20	17:00:00	1309.57	1310.16	1307.17	1308.91	21382	0	0
2018.03.20	18:00:00	1308.91	1313.23	1308.91	1311.48	23090	0	0
2018.03.20	19:00:00	1311.52	1313.22	1309.93	1310.34	17365	0	0
2018.03.20	20:00:00	1310.37	1312.73	1310.14	1312.21	11795	0	0
2018.03.20	21:00:00	1312.26	1312.59	1310.41	1310.63	7755	0	0
2018.03.20	22:00:00	1310.65	1310.94	1309.36	1310.44	7427	0	0
2018.03.20	23:00:00	1310.45	1311.30	1310.21	1311.09	3725	0	0
2018.03.21	01:00:00	1310.68	1311.72	1310.37	1311.28	1735	0	0
2018.03.21	02:00:00	1311.28	1311.80	1309.88	1310.02	2958	0	0
2018.03.21	03:00:00	1310.03	1311.13	1309.81	1311.07	4734	0	0
2018.03.21	04:00:00	1311.09	1313.27	1310.70	1313.22	7774	0	0
2018.03.21	05:00:00	1313.22	1314.03	1312.88	1313.19	5983	0	0
2018.03.21	06:00:00	1313.23	1314.51	1313.10	1314.03	4519	0	0
2018.03.21	07:00:00	1314.04	1314.48	1313.29	1313.55	2933	0	0
2018.03.21	08:00:00	1313.56	1314.17	1312.74	1313.17	3885	0	0
2018.03.21	09:00:00	1313.16	1315.30	1312.89	1314.73	6603	0	0
2018.03.21	10:00:00	1314.74	1316.82	1314.32	1316.46	10037	0	0
2018.03.21	11:00:00	1316.42	1317.84	1316.23	1316.64	11783	0	0
2018.03.21	12:00:00	1316.66	1317.60	1316.33	1316.60	10437	0	0
2018.03.21	13:00:00	1316.61	1317.10	1315.36	1315.66	8671	0	0
2018.03.21	14:00:00	1315.67	1316.68	1314.00	1315.27	13052	0	0
2018.03.21	15:00:00	1315.29	1318.96	1315.08	1318.66	17039	0	0
2018.03.21	16:00:00	1318.66	1323.49	1318.27	1320.49	26472	0	0
2018.03.21	17:00:00	1320.45	1321.91	1318.29	1321.72	20080	0	0
2018.03.21	18:00:00	1321.70	1326.57	1320.31	1324.91	21601	0	0
2018.03.21	19:00:00	1324.91	1325.29	1323.19	1323.92	14816	0	0
2018.03.21	20:00:00	1323.94	1324.31	1320.44	1323.44	15516	0	0
2018.03.21	21:00:00	1323.44	1331.42	1319.12	1330.48	51674	0	0
2018.03.21	22:00:00	1330.51	1336.60	1329.59	1333.47	30444	0	0
2018.03.21	23:00:00	1333.46	1333.49	1331.80	1332.00	5857	0	0
2018.03.22	01:00:00	1331.69	1332.40	1331.38	1331.94	3096	0	0
2018.03.22	02:00:00	1331.93	1332.54	1331.09	1332.05	5141	0	0
2018.03.22	03:00:00	1332.04	1334.23	1331.78	1333.90	15151	0	0
2018.03.22	04:00:00	1333.85	1334.86	1330.21	1330.86	13221	0	0
2018.03.22	05:00:00	1330.87	1331.27	1329.77	1330.24	8920	0	0
2018.03.22	06:00:00	1330.23	1330.62	1329.43	1330.55	6611	0	0
2018.03.22	07:00:00	1330.55	1330.92	1329.79	1329.86	4090	0	0
2018.03.22	08:00:00	1329.85	1329.89	1327.42	1328.12	9269	0	0
2018.03.22	09:00:00	1328.12	1330.83	1327.71	1330.22	8912	0	0
2018.03.22	10:00:00	1330.23	1332.88	1330.02	1331.82	15941	0	0
2018.03.22	11:00:00	1331.87	1333.84	1331.69	1332.05	15787	0	0
2018.03.22	12:00:00	1331.98	1332.31	1328.51	1328.92	17457	0	0
2018.03.22	13:00:00	1328.92	1330.42	1327.86	1329.77	13540	0	0
2018.03.22	14:00:00	1329.74	1330.91	1328.97	1329.85	11248	0	0
2018.03.22	15:00:00	1329.84	1332.30	1328.69	1329.70	22209	0	0
2018.03.22	16:00:00	1329.79	1332.59	1327.44	1330.02	32506	0	0
2018.03.22	17:00:00	1330.01	1332.20	1329.58	1330.57	30240	0	0
2018.03.22	18:00:00	1330.57	1330.60	1326.81	1328.68	28672	0	0
2018.03.22	19:00:00	1328.67	1328.70	1325.62	1326.87	31724	0	0
2018.03.22	20:00:00	1326.87	1328.02	1324.78	1326.80	20250	0	0
2018.03.22	21:00:00	1326.82	1328.21	1326.19	1327.07	14255	0	0
2018.03.22	22:00:00	1327.09	1330.20	1326.84	1328.31	17671	0	0
2018.03.22	23:00:00	1328.30	1329.41	1328.15	1328.88	5410	0	0
2018.03.23	01:00:00	1329.15	1331.76	1328.95	1330.93	8268	0	0
2018.03.23	02:00:00	1330.94	1333.43	1330.61	1332.68	9448	0	0
2018.03.23	03:00:00	1332.69	1339.11	1331.72	1338.62	17464	0	0
2018.03.23	04:00:00	1338.63	1338.74	1335.72	1337.58	14566	0	0
2018.03.23	05:00:00	1337.58	1338.89	1336.56	1338.41	11153	0	0
2018.03.23	06:00:00	1338.38	1338.96	1337.63	1338.42	6874	0	0
2018.03.23	07:00:00	1338.41	1339.00	1337.56	1337.86	5925	0	0
2018.03.23	08:00:00	1337.87	1339.12	1337.81	1338.26	6476	0	0
2018.03.23	09:00:00	1338.25	1343.19	1338.03	1342.85	14722	0	0
2018.03.23	10:00:00	1342.93	1342.94	1339.24	1339.46	16363	0	0
2018.03.23	11:00:00	1339.44	1341.49	1338.30	1341.44	17375	0	0
2018.03.23	12:00:00	1341.44	1342.55	1340.99	1342.28	13250	0	0
2018.03.23	13:00:00	1342.28	1343.08	1341.82	1342.12	10528	0	0
2018.03.23	14:00:00	1342.07	1342.87	1340.17	1341.16	13878	0	0
2018.03.23	15:00:00	1341.18	1347.71	1340.47	1347.34	25203	0	0
2018.03.23	16:00:00	1347.34	1348.70	1343.52	1347.60	26737	0	0
2018.03.23	17:00:00	1347.57	1350.19	1345.32	1348.17	32105	0	0
2018.03.23	18:00:00	1348.17	1350.12	1345.74	1349.71	27327	0	0
2018.03.23	19:00:00	1349.78	1350.18	1348.35	1349.47	18518	0	0
2018.03.23	20:00:00	1349.47	1349.99	1346.76	1347.35	17990	0	0
2018.03.23	21:00:00	1347.35	1348.70	1346.50	1348.66	15559	0	0
2018.03.23	22:00:00	1348.67	1348.77	1345.42	1345.54	19374	0	0
2018.03.23	23:00:00	1345.61	1348.41	1345.61	1347.02	5827	0	0
2018.03.26	01:00:00	1347.12	1350.83	1346.82	1350.14	4537	0	0
2018.03.26	02:00:00	1350.14	1350.29	1348.15	1348.30	6341	0	0
2018.03.26	03:00:00	1348.28	1349.35	1345.64	1346.12	13044	0	0
2018.03.26	04:00:00	1346.13	1347.66	1345.94	1347.00	11431	0	0
2018.03.26	05:00:00	1346.99	1347.73	1346.42	1347.51	6247	0	0
2018.03.26	06:00:00	1347.50	1349.24	1347.50	1347.96	6412	0	0
2018.03.26	07:00:00	1347.96	1348.73	1347.83	1348.19	4550	0	0
2018.03.26	08:00:00	1348.18	1348.18	1344.88	1345.35	8064	0	0
2018.03.26	09:00:00	1345.32	1345.60	1343.46	1344.82	12461	0	0
2018.03.26	10:00:00	1344.80	1346.82	1344.16	1346.05	13716	0	0
2018.03.26	11:00:00	1346.05	1347.82	1345.05	1347.54	10506	0	0
2018.03.26	12:00:00	1347.54	1349.21	1347.50	1348.00	11233	0	0
2018.03.26	13:00:00	1347.99	1348.48	1347.39	1347.66	7719	0	0
2018.03.26	14:00:00	1347.66	1349.71	1347.63	1348.94	9585	0	0
2018.03.26	15:00:00	1348.94	1349.25	1347.20	1347.78	12993	0	0
2018.03.26	16:00:00	1347.78	1353.44	1347.74	1352.73	23917	0	0
