date,close,sent_mean,sent_std,sent_min,sent_max,sent_decay,sent_momentum,sent_vol,sent_diffusion,headline_count_z,sig_buy,sig_sell,sig_hold,sig_none
2025-05-20,3289.86,-0.46463805,0.0,-0.46463805,-0.46463805,-0.46463805,0.0,0.0,-0.24,0.0,0.0,1.0,0.0,0.0
2025-05-21,3315.32,-0.48834655,0.03352887,-0.51205504,-0.46463805,-0.49107334,-0.047416985,0.03352887,-0.2354753,-0.7071066,0.0,1.0,0.0,0.0
2025-05-22,3294.79,-0.47712556,0.030656537,-0.51205504,-0.45468363,-0.476059,0.057371408,0.030656537,-0.23710974,-0.21821782,0.0,1.0,0.0,0.0
2025-05-23,3360.25,-0.47342485,0.026102295,-0.51205504,-0.45468363,-0.47136068,-0.0076391078,0.026102295,-0.2389275,-1.1258522,0.0,1.0,0.0,0.0
2025-05-26,3342.31,-0.4233371,0.11425813,-0.51205504,-0.22298601,-0.39656055,0.23933673,0.11425813,-0.20153163,-1.4034897,0.0,1.0,0.0,0.0
2025-05-27,3300.69,-0.39695293,0.11752155,-0.51205504,-0.22298601,-0.3789994,-0.10973122,0.10868577,-0.1965259,-1.2004899,0.0,1.0,0.0,0.0
2025-05-28,3288.47,-0.34982362,0.106562026,-0.46232274,-0.22298601,-0.35259584,0.056308735,0.11102427,-0.18554151,1.3959591,0.0,1.0,0.0,0.0
2025-05-29,3317.7,-0.28107592,0.13024779,-0.46232274,-0.11094514,-0.29342452,0.16546336,0.14232963,-0.15590687,2.3577526,0.0,1.0,0.0,0.0
2025-05-30,3291.13,-0.21196915,0.09762047,-0.33271724,-0.11094514,-0.251779,-0.0058437875,0.15494841,-0.13858025,2.3444269,0.0,1.0,0.0,0.0
2025-06-02,3381.67,-0.1949638,0.10250514,-0.33271724,-0.11094514,-0.22571185,-0.021170286,0.15798551,-0.12962463,1.8571031,0.0,1.0,0.0,0.0
2025-06-03,3353.49,-0.14935243,0.07212131,-0.2764085,-0.10466036,-0.19860442,0.033298854,0.15962324,-0.11945492,1.520329,0.0,1.0,0.0,0.0
2025-06-04,3372.32,-0.11728179,0.01253751,-0.13795921,-0.10466036,-0.18043926,-0.0113949515,0.14190759,-0.11340327,1.1085224,0.0,1.0,0.0,0.0
